2026-03-30 21:22:02 | transformacion.silver | INFO | ✅ Details: 612 → 612 registros limpios
2026-03-30 21:22:02 | transformacion.silver | INFO | ✅ Silver guardado: data/silver/users/date=2026-03-30/users.parquet (100 registros)
2026-03-30 21:22:02 | transformacion.silver | INFO | ✅ Silver guardado: data/silver/transactions/date=2026-03-30/transactions.parquet (500 registros)
2026-03-30 21:22:02 | transformacion.silver | INFO | ✅ Silver guardado: data/silver/transaction_details/date=2026-03-30/transaction_details.parquet (612 registros)
2026-03-30 21:22:02 | transformacion.silver | INFO | ✅ SILVER COMPLETO en 0.05s
2026-03-30 21:22:02 | transformacion.silver | INFO |    Users:        100 registros limpios
2026-03-30 21:22:02 | transformacion.silver | INFO |    Transactions: 500 registros limpios
2026-03-30 21:22:02 | transformacion.silver | INFO |    Details:      612 registros limpios
2026-03-30 21:22:02 | modelado.gold | INFO | ==================================================
2026-03-30 21:22:02 | modelado.gold | INFO | INICIANDO MODELADO — CAPA GOLD
2026-03-30 21:22:02 | modelado.gold | INFO | ==================================================
2026-03-30 21:22:02 | modelado.gold | INFO | Silver cargado: users (100 registros)
2026-03-30 21:22:02 | modelado.gold | INFO | Silver cargado: transactions (500 registros)
2026-03-30 21:22:02 | modelado.gold | INFO | Silver cargado: transaction_details (612 registros)
2026-03-30 21:22:02 | modelado.gold | INFO | Construyendo gold_user_metrics...
2026-03-30 21:22:02 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_user_metrics.parquet (100 registros)
2026-03-30 21:22:02 | modelado.gold | INFO | Construyendo gold_channel_metrics...
2026-03-30 21:22:02 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_channel_metrics.parquet (3 registros)
2026-03-30 21:22:02 | modelado.gold | INFO | Construyendo gold_payment_method_metrics...
2026-03-30 21:22:02 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_payment_method_metrics.parquet (5 registros)
2026-03-30 21:22:02 | modelado.gold | INFO | Construyendo gold_summary...
2026-03-30 21:22:02 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_summary.parquet (1 registros)
2026-03-30 21:22:02 | modelado.gold | INFO | ✅ GOLD COMPLETO en 0.03s
2026-03-30 21:22:02 | modelado.gold | INFO |    gold_user_metrics: data/gold/date=2026-03-30/gold_user_metrics.parquet
2026-03-30 21:22:02 | modelado.gold | INFO |    gold_channel_metrics: data/gold/date=2026-03-30/gold_channel_metrics.parquet
2026-03-30 21:22:02 | modelado.gold | INFO |    gold_payment_method_metrics: data/gold/date=2026-03-30/gold_payment_method_metrics.parquet
2026-03-30 21:22:02 | modelado.gold | INFO |    gold_summary: data/gold/date=2026-03-30/gold_summary.parquet
2026-03-30 21:22:02 | calidad.quality_checks | INFO | ==================================================
2026-03-30 21:22:02 | calidad.quality_checks | INFO | INICIANDO CALIDAD Y OBSERVABILIDAD — NIVEL 3
2026-03-30 21:22:02 | calidad.quality_checks | INFO | ==================================================
2026-03-30 21:22:02 | calidad.quality_checks | INFO | Ejecutando: conteo de registros...
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [users] record_count: 100 registros en Silver
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] record_count: 500 registros en Silver
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transaction_details] record_count: 612 registros en Silver
2026-03-30 21:22:02 | calidad.quality_checks | INFO | Ejecutando: trazabilidad Bronze → Silver...
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transactions] bronze_to_silver_traceability: Bronze=510 → Silver=500 (se eliminaron 10 invalidos)
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [transaction_details] bronze_to_silver_traceability: Bronze=612 → Silver=612
2026-03-30 21:22:02 | calidad.quality_checks | INFO | Ejecutando: null checks...
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [users] null_check_user_id: 0 nulls en columna user_id
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [users] null_check_name: 0 nulls en columna name
2026-03-30 21:22:02 | calidad.quality_checks | INFO |   ✅ [users] null_check_email: 0 nulls en columna email
